qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	4.590797e-04	5.096808e-18	3.815931e-04	8.591339e-09	2.432807e-04	7.736939e-08	2.978041e-04	1.157636e-07	2.748269e-05	6.848849e-07	3.367070e-05	8.381853e-07	
2.000000e-02	4.458858e-04	4.950327e-18	3.708136e-04	8.324499e-09	4.845725e-04	1.556761e-07	5.931591e-04	2.319168e-07	5.529834e-05	1.364171e-06	6.771524e-05	1.666864e-06	
3.000000e-02	4.247341e-04	4.715495e-18	3.539885e-04	7.854074e-09	7.219100e-04	2.358761e-07	8.805938e-04	3.459262e-07	8.378650e-05	2.032324e-06	1.023785e-04	2.475216e-06	
4.000000e-02	3.967981e-04	4.405344e-18	3.317325e-04	7.234659e-09	9.533741e-04	3.189628e-07	1.160798e-03	4.617996e-07	1.133001e-04	2.683943e-06	1.380125e-04	3.255187e-06	
5.000000e-02	3.635656e-04	4.036388e-18	3.052015e-04	6.503389e-09	1.177115e-03	4.059872e-07	1.419813e-03	5.682095e-07	1.442123e-04	3.313818e-06	1.749464e-04	3.998295e-06	
6.000000e-02	3.267072e-04	3.627179e-18	2.756964e-04	5.701101e-09	1.391372e-03	4.980796e-07	1.679053e-03	6.906674e-07	1.769248e-04	3.916995e-06	2.135121e-04	4.696342e-06	
7.000000e-02	2.879388e-04	3.196762e-18	2.445593e-04	4.866800e-09	1.594495e-03	5.964731e-07	1.911977e-03	8.053840e-07	2.118756e-04	4.488829e-06	2.540404e-04	5.341428e-06	
8.000000e-02	2.488915e-04	2.763251e-18	2.130713e-04	4.039016e-09	1.784964e-03	7.025306e-07	2.123900e-03	9.215376e-07	2.495487e-04	5.025037e-06	2.968561e-04	5.926005e-06	
9.000000e-02	2.110048e-04	2.342624e-18	1.823718e-04	3.250801e-09	1.961401e-03	8.177747e-07	2.310942e-03	1.039156e-06	2.904850e-04	5.521745e-06	3.422657e-04	6.442850e-06	
1.000000e-01	1.754490e-04	1.947875e-18	1.533968e-04	2.527322e-09	2.122591e-03	9.439225e-07	2.471081e-03	1.160150e-06	3.352945e-04	5.975527e-06	3.905400e-04	6.885054e-06	
1.100000e-01	1.430838e-04	1.588550e-18	1.268447e-04	1.886631e-09	2.267487e-03	1.082926e-06	2.604509e-03	1.288531e-06	3.846705e-04	6.383441e-06	4.418868e-04	7.246014e-06	
1.200000e-01	1.144502e-04	1.270652e-18	1.031686e-04	1.338315e-09	2.395227e-03	1.237019e-06	2.705974e-03	1.423269e-06	4.394066e-04	6.743054e-06	4.964082e-04	7.519373e-06	
1.300000e-01	8.979136e-05	9.968844e-19	8.258990e-05	8.850090e-10	2.505135e-03	1.408774e-06	2.773575e-03	1.566217e-06	5.004161e-04	7.052467e-06	5.540409e-04	7.699004e-06	
1.400000e-01	6.909572e-05	7.671166e-19	6.512990e-05	5.234416e-10	2.596728e-03	1.601164e-06	2.805405e-03	1.718490e-06	5.687557e-04	7.310319e-06	6.144672e-04	7.778983e-06	
1.500000e-01	5.215228e-05	5.790067e-19	5.065067e-05	2.459078e-10	2.669718e-03	1.817644e-06	2.799330e-03	1.879924e-06	6.456527e-04	7.515803e-06	6.769997e-04	7.753703e-06	
1.600000e-01	3.861079e-05	4.286659e-19	3.890076e-05	4.188174e-11	2.724013e-03	2.062244e-06	2.753340e-03	2.048681e-06	7.325379e-04	7.668654e-06	7.404254e-04	7.618077e-06	
1.700000e-01	2.803919e-05	3.112975e-19	2.955915e-05	1.005292e-10	2.759710e-03	2.339676e-06	2.665853e-03	2.220558e-06	8.310855e-04	7.769147e-06	8.028213e-04	7.368049e-06	
1.800000e-01	1.997343e-05	2.217496e-19	2.227377e-05	1.933757e-10	2.777091e-03	2.655468e-06	2.535963e-03	2.388103e-06	9.432595e-04	7.818080e-06	8.613684e-04	7.001563e-06	
1.900000e-01	1.395661e-05	1.549495e-19	1.669249e-05	2.479746e-10	2.776617e-03	3.016128e-06	2.361374e-03	2.537380e-06	1.071371e-03	7.816745e-06	9.122135e-04	6.520058e-06	
2.000000e-01	9.566602e-06	1.062106e-19	1.248546e-05	2.743278e-10	2.758915e-03	3.429327e-06	2.152460e-03	2.660472e-06	1.218145e-03	7.766910e-06	9.504933e-04	5.930616e-06	
2.100000e-01	6.432754e-06	7.141792e-20	9.359045e-06	2.808218e-10	2.724767e-03	3.904137e-06	1.905568e-03	2.729670e-06	1.386804e-03	7.670776e-06	9.706807e-04	5.248520e-06	
2.200000e-01	4.243358e-06	4.711074e-20	7.063109e-06	2.741869e-10	2.675096e-03	4.451308e-06	1.632870e-03	2.728243e-06	1.581167e-03	7.530943e-06	9.673557e-04	4.499179e-06	
2.300000e-01	2.746050e-06	3.048728e-20	5.391167e-06	2.594675e-10	2.610953e-03	5.083602e-06	1.349302e-03	2.644109e-06	1.805767e-03	7.350366e-06	9.366577e-04	3.719211e-06	
2.400000e-01	1.743439e-06	1.935606e-20	4.183982e-06	2.408542e-10	2.533495e-03	5.816207e-06	1.070219e-03	2.472396e-06	2.065998e-03	7.132308e-06	8.766764e-04	2.949333e-06	
2.500000e-01	1.085973e-06	1.205672e-20	3.303236e-06	2.197305e-10	2.443976e-03	6.667229e-06	8.146599e-04	2.230216e-06	2.368293e-03	6.880291e-06	7.928773e-04	2.242580e-06	
