qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	1.017179e-02	1.129296e-16	7.822587e-03	1.346201e-07	1.065320e-04	3.560539e-08	1.248430e-04	4.686142e-08	1.264753e-05	2.999094e-07	1.482453e-05	3.512271e-07	
2.000000e-02	1.009794e-02	1.121096e-16	7.768048e-03	1.334117e-07	2.128446e-04	7.131816e-08	2.493579e-04	9.370075e-08	2.533321e-05	5.992010e-07	2.968516e-05	7.009163e-07	
3.000000e-02	9.976040e-03	1.107563e-16	7.678009e-03	1.314333e-07	3.187188e-04	1.072462e-07	3.732151e-04	1.405268e-07	3.809536e-05	8.972587e-07	4.461800e-05	1.048147e-06	
4.000000e-02	9.807851e-03	1.088890e-16	7.553737e-03	1.287073e-07	4.239373e-04	1.434985e-07	4.961212e-04	1.874201e-07	5.097269e-05	1.193470e-06	5.965927e-05	1.392004e-06	
5.000000e-02	9.595773e-03	1.065345e-16	7.396954e-03	1.252860e-07	5.282844e-04	1.801857e-07	6.177131e-04	2.343565e-07	6.400448e-05	1.487229e-06	7.484549e-05	1.731585e-06	
6.000000e-02	9.342789e-03	1.037258e-16	7.210096e-03	1.211622e-07	6.315471e-04	2.174204e-07	7.376491e-04	2.813321e-07	7.723076e-05	1.777934e-06	9.020982e-05	2.065915e-06	
7.000000e-02	9.052402e-03	1.005018e-16	6.995104e-03	1.164648e-07	7.335157e-04	2.553180e-07	8.556257e-04	3.284548e-07	9.069254e-05	2.064997e-06	1.057959e-04	2.394267e-06	
8.000000e-02	8.728547e-03	9.690634e-17	6.755132e-03	1.112868e-07	8.339840e-04	2.939974e-07	9.713504e-04	3.757785e-07	1.044320e-04	2.347836e-06	1.216380e-04	2.715699e-06	
9.000000e-02	8.375508e-03	9.298682e-17	6.493037e-03	1.056635e-07	9.327506e-04	3.335810e-07	1.084478e-03	4.232424e-07	1.184926e-04	2.625884e-06	1.377786e-04	3.029472e-06	
1.000000e-01	7.997823e-03	8.879367e-17	6.212631e-03	9.967055e-08	1.029619e-03	3.741960e-07	1.194734e-03	4.711181e-07	1.329197e-04	2.898588e-06	1.542454e-04	3.334519e-06	
1.100000e-01	7.600182e-03	8.437897e-17	5.916857e-03	9.340801e-08	1.124398e-03	4.159748e-07	1.301795e-03	5.192980e-07	1.477601e-04	3.165410e-06	1.710867e-04	3.630244e-06	
1.200000e-01	7.187339e-03	7.979550e-17	5.609428e-03	8.693464e-08	1.216902e-03	4.590555e-07	1.405404e-03	5.679692e-07	1.630629e-04	3.425829e-06	1.883349e-04	3.915711e-06	
1.300000e-01	6.764016e-03	7.509566e-17	5.293673e-03	8.035041e-08	1.306954e-03	5.035830e-07	1.505295e-03	6.172340e-07	1.788797e-04	3.679344e-06	2.060317e-04	4.190210e-06	
1.400000e-01	6.334813e-03	7.033055e-17	4.972960e-03	7.372439e-08	1.394383e-03	5.497094e-07	1.601041e-03	6.670875e-07	1.952645e-04	3.925472e-06	2.242162e-04	4.452984e-06	
1.500000e-01	5.904132e-03	6.554903e-17	4.650512e-03	6.715395e-08	1.479024e-03	5.975954e-07	1.692574e-03	7.178021e-07	2.122742e-04	4.163754e-06	2.429276e-04	4.703307e-06	
1.600000e-01	5.476106e-03	6.079698e-17	4.329363e-03	6.068287e-08	1.560722e-03	6.474104e-07	1.779473e-03	7.693720e-07	2.299692e-04	4.393751e-06	2.622052e-04	4.940476e-06	
1.700000e-01	5.054540e-03	5.611666e-17	4.012321e-03	5.438616e-08	1.639330e-03	6.993341e-07	1.861501e-03	8.219984e-07	2.484132e-04	4.615048e-06	2.820874e-04	5.163812e-06	
1.800000e-01	4.642864e-03	5.154614e-17	3.701927e-03	4.831962e-08	1.714710e-03	7.535573e-07	1.938471e-03	8.758594e-07	2.676741e-04	4.827258e-06	3.026124e-04	5.372661e-06	
1.900000e-01	4.244097e-03	4.711894e-17	3.400440e-03	4.252103e-08	1.786732e-03	8.102829e-07	2.010113e-03	9.310889e-07	2.878238e-04	5.030016e-06	3.238162e-04	5.566383e-06	
2.000000e-01	3.860827e-03	4.286379e-17	3.109802e-03	3.703683e-08	1.855278e-03	8.697275e-07	2.076237e-03	9.878533e-07	3.089394e-04	5.222987e-06	3.457337e-04	5.744373e-06	
2.100000e-01	3.495196e-03	3.880448e-17	2.831646e-03	3.189182e-08	1.920237e-03	9.321221e-07	2.136520e-03	1.046264e-06	3.311028e-04	5.405859e-06	3.683965e-04	5.906039e-06	
2.200000e-01	3.148906e-03	3.495988e-17	2.567283e-03	2.711493e-08	1.981509e-03	9.977139e-07	2.190799e-03	1.106515e-06	3.544019e-04	5.578354e-06	3.918333e-04	6.050814e-06	
2.300000e-01	2.823225e-03	3.134409e-17	2.317712e-03	2.271407e-08	2.039006e-03	1.066768e-06	2.238821e-03	1.168748e-06	3.789308e-04	5.740219e-06	4.160679e-04	6.178157e-06	
2.400000e-01	2.519008e-03	2.796661e-17	2.083639e-03	1.869938e-08	2.092648e-03	1.139567e-06	2.279526e-03	1.232471e-06	4.047903e-04	5.891232e-06	4.411177e-04	6.287534e-06	
2.500000e-01	2.236725e-03	2.483264e-17	1.865483e-03	1.506916e-08	2.142366e-03	1.216418e-06	2.315416e-03	1.299772e-06	4.320888e-04	6.031199e-06	4.669934e-04	6.378447e-06	
2.600000e-01	1.976494e-03	2.194349e-17	1.663408e-03	1.181931e-08	2.188103e-03	1.297648e-06	2.343574e-03	1.368793e-06	4.609428e-04	6.159958e-06	4.936954e-04	6.450407e-06	
2.700000e-01	1.738117e-03	1.929698e-17	1.477349e-03	8.937550e-09	2.229812e-03	1.383611e-06	2.364709e-03	1.440235e-06	4.914778e-04	6.277377e-06	5.212117e-04	6.502938e-06	
2.800000e-01	1.521123e-03	1.688785e-17	1.307032e-03	6.409404e-09	2.267456e-03	1.474686e-06	2.378644e-03	1.514135e-06	5.238290e-04	6.383353e-06	5.495166e-04	6.535595e-06	
2.900000e-01	1.324805e-03	1.470828e-17	1.152009e-03	4.215483e-09	2.301010e-03	1.571285e-06	2.385209e-03	1.590468e-06	5.581422e-04	6.477814e-06	5.785660e-04	6.547951e-06	
3.000000e-01	1.148267e-03	1.274832e-17	1.011688e-03	2.334324e-09	2.330459e-03	1.673850e-06	2.384231e-03	1.669137e-06	5.945749e-04	6.560719e-06	6.082939e-04	6.539600e-06	
3.100000e-01	9.904625e-04	1.099634e-17	8.853611e-04	7.425828e-10	2.355799e-03	1.782861e-06	2.375558e-03	1.749972e-06	6.332970e-04	6.632057e-06	6.386086e-04	6.510170e-06	
3.200000e-01	8.502345e-04	9.439499e-18	7.722303e-04	5.844781e-10	2.377037e-03	1.898835e-06	2.359046e-03	1.832703e-06	6.744926e-04	6.691845e-06	6.693874e-04	6.459323e-06	
3.300000e-01	7.263499e-04	8.064104e-18	6.714367e-04	1.672030e-09	2.394189e-03	2.022332e-06	2.334569e-03	1.916949e-06	7.183608e-04	6.740131e-06	7.004717e-04	6.386768e-06	
3.400000e-01	6.175336e-04	6.856000e-18	5.820824e-04	2.545210e-09	2.407282e-03	2.153961e-06	2.302020e-03	2.002191e-06	7.651171e-04	6.776992e-06	7.316609e-04	6.292276e-06	
3.500000e-01	5.224972e-04	5.800884e-18	5.032523e-04	3.228710e-09	2.416354e-03	2.294378e-06	2.261327e-03	2.087764e-06	8.149951e-04	6.802531e-06	7.627070e-04	6.175700e-06	
3.600000e-01	4.399642e-04	4.884584e-18	4.340326e-04	3.746120e-09	2.421451e-03	2.444297e-06	2.212401e-03	2.172778e-06	8.682484e-04	6.816881e-06	7.933084e-04	6.036997e-06	
3.700000e-01	3.686904e-04	4.093285e-18	3.735258e-04	4.119956e-09	2.422631e-03	2.604492e-06	2.155420e-03	2.256354e-06	9.251518e-04	6.820200e-06	8.231061e-04	5.876265e-06	
3.800000e-01	3.074813e-04	3.413728e-18	3.208653e-04	4.371181e-09	2.419957e-03	2.775803e-06	2.082299e-03	2.329014e-06	9.860040e-04	6.812674e-06	8.516767e-04	5.693765e-06	
3.900000e-01	2.552051e-04	2.833346e-18	2.752230e-04	4.518956e-09	2.413506e-03	2.959144e-06	2.017460e-03	2.413866e-06	1.051129e-03	6.794513e-06	8.785356e-04	5.489995e-06	
