qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	4.590797e-04	5.096808e-18	3.815931e-04	8.591339e-09	-7.899815e-14	7.736939e-08	2.066210e-12	9.460642e-08	2.748269e-05	3.813512e-14	3.367077e-05	7.581058e-10	
2.000000e-02	4.458858e-04	4.950327e-18	3.708136e-04	8.324499e-09	-8.829223e-13	1.556761e-07	1.636406e-11	1.901480e-07	5.529834e-05	6.356492e-14	6.771520e-05	1.520260e-09	
3.000000e-02	4.247341e-04	4.715495e-18	3.539885e-04	7.854074e-09	-1.842100e-12	2.358761e-07	3.096313e-11	2.867892e-07	8.378650e-05	2.803052e-14	1.023783e-04	2.271914e-09	
4.000000e-02	3.967981e-04	4.405344e-18	3.317325e-04	7.234659e-09	-1.452062e-12	3.189628e-07	4.792708e-11	3.866773e-07	1.133001e-04	2.458888e-14	1.380122e-04	3.010683e-09	
5.000000e-02	3.635656e-04	4.036388e-18	3.052015e-04	6.503389e-09	-1.056594e-12	4.059872e-07	6.525436e-11	4.870453e-07	1.442123e-04	8.448754e-15	1.749460e-04	3.729145e-09	
6.000000e-02	3.267072e-04	3.627179e-18	2.756964e-04	5.701101e-09	-6.395287e-13	4.980796e-07	8.418648e-11	5.971648e-07	1.769248e-04	3.738219e-15	2.135117e-04	4.417080e-09	
7.000000e-02	2.879388e-04	3.196762e-18	2.445593e-04	4.866800e-09	-1.046924e-12	5.964731e-07	1.027309e-10	7.098296e-07	2.118756e-04	5.783689e-17	2.540398e-04	5.058065e-09	
8.000000e-02	2.488915e-04	2.763251e-18	2.130713e-04	4.039016e-09	-8.504913e-13	7.025306e-07	1.230909e-10	8.287119e-07	2.495487e-04	9.506060e-15	2.968554e-04	5.630709e-09	
9.000000e-02	2.110048e-04	2.342624e-18	1.823718e-04	3.250801e-09	5.163620e-13	8.177747e-07	1.459420e-10	9.541572e-07	2.904850e-04	2.274196e-13	3.422649e-04	6.105475e-09	
1.000000e-01	1.754490e-04	1.947875e-18	1.533968e-04	2.527322e-09	-8.203682e-13	9.439225e-07	1.668272e-10	1.087053e-06	3.352945e-04	6.474208e-14	3.905391e-04	6.440386e-09	
1.100000e-01	1.430838e-04	1.588550e-18	1.268447e-04	1.886631e-09	-5.964902e-13	1.082926e-06	1.910022e-10	1.229147e-06	3.846705e-04	6.019161e-14	4.418858e-04	6.580305e-09	
1.200000e-01	1.144502e-04	1.270652e-18	1.031686e-04	1.338315e-09	-8.425850e-13	1.237019e-06	2.159121e-10	1.379457e-06	4.394066e-04	8.469439e-15	4.964072e-04	6.450124e-09	
1.300000e-01	8.979136e-05	9.968844e-19	8.258990e-05	8.850090e-10	-9.067093e-13	1.408774e-06	2.422654e-10	1.537926e-06	5.004161e-04	1.365258e-14	5.540398e-04	5.951992e-09	
1.400000e-01	6.909572e-05	7.671166e-19	6.512990e-05	5.234416e-10	-2.132163e-13	1.601164e-06	2.705274e-10	1.703810e-06	5.687557e-04	5.484022e-15	6.144661e-04	4.961594e-09	
1.500000e-01	5.215228e-05	5.790067e-19	5.065067e-05	2.459078e-10	-7.665095e-13	1.817644e-06	2.982070e-10	1.875188e-06	6.456527e-04	1.551836e-13	6.769987e-04	3.330658e-09	
1.600000e-01	3.861079e-05	4.286659e-19	3.890076e-05	4.188174e-11	-8.139127e-13	2.062244e-06	3.266724e-10	2.048657e-06	7.325379e-04	1.829313e-13	7.404243e-04	9.981487e-10	
1.700000e-01	2.803919e-05	3.112975e-19	2.955915e-05	1.005292e-10	-3.403179e-13	2.339676e-06	3.550783e-10	2.218903e-06	8.310855e-04	1.432238e-15	8.028202e-04	2.809945e-09	
