qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	8.197206e-02	9.100727e-16	7.330088e-02	8.865855e-07	1.836397e-06	2.883313e-20	2.058537e-06	2.486696e-10	-7.877905e-20	5.169833e-09	-7.469578e-13	5.794741e-09	
2.000000e-02	8.175793e-02	9.076954e-16	7.311464e-02	8.832420e-07	3.671268e-06	5.764230e-20	4.114951e-06	4.957524e-10	-1.573217e-19	1.033537e-08	-7.568037e-13	1.158284e-08	
3.000000e-02	8.140230e-02	9.037471e-16	7.280536e-02	8.790090e-07	5.503088e-06	8.640357e-20	6.167502e-06	7.443491e-10	-2.359354e-19	1.549232e-08	-7.637646e-13	1.735864e-08	
4.000000e-02	8.090701e-02	8.982483e-16	7.237464e-02	8.725417e-07	7.330337e-06	1.150931e-19	8.216708e-06	9.903232e-10	-3.142191e-19	2.063640e-08	-7.679076e-13	2.311651e-08	
5.000000e-02	8.027464e-02	8.912275e-16	7.182472e-02	8.637373e-07	9.151498e-06	1.436870e-19	1.025250e-05	1.229802e-09	-3.923593e-19	2.576334e-08	-7.693035e-13	2.885079e-08	
6.000000e-02	7.950846e-02	8.827212e-16	7.115825e-02	8.540227e-07	1.096506e-05	1.721616e-19	1.228100e-05	1.471569e-09	-4.699673e-19	3.086890e-08	-7.680292e-13	3.455596e-08	
7.000000e-02	7.861241e-02	8.727730e-16	7.037864e-02	8.419462e-07	1.276953e-05	2.004935e-19	1.429745e-05	1.708037e-09	-5.471888e-19	3.594884e-08	-7.641627e-13	4.022643e-08	
8.000000e-02	7.759105e-02	8.614337e-16	6.948976e-02	8.285839e-07	1.456341e-05	2.286590e-19	1.629994e-05	1.943354e-09	-6.246770e-19	4.099899e-08	-7.577864e-13	4.585671e-08	
9.000000e-02	7.644957e-02	8.487607e-16	6.849608e-02	8.136175e-07	1.634523e-05	2.566352e-19	1.828651e-05	2.169739e-09	-7.007471e-19	4.601516e-08	-7.489848e-13	5.144128e-08	
1.000000e-01	7.519367e-02	8.348174e-16	6.740255e-02	7.969687e-07	1.811352e-05	2.843989e-19	2.025529e-05	2.393754e-09	-7.767258e-19	5.099325e-08	-7.378453e-13	5.697466e-08	
1.100000e-01	7.382959e-02	8.196731e-16	6.621432e-02	7.790811e-07	1.986682e-05	3.119275e-19	2.220414e-05	2.611200e-09	-8.527793e-19	5.592917e-08	-7.244603e-13	6.245160e-08	
1.200000e-01	7.236400e-02	8.034018e-16	6.493713e-02	7.597702e-07	2.160372e-05	3.391983e-19	2.413165e-05	2.820740e-09	-9.262339e-19	6.081888e-08	-7.089229e-13	6.786677e-08	
1.300000e-01	7.080398e-02	7.860821e-16	6.357714e-02	7.395825e-07	2.332279e-05	3.661893e-19	2.603552e-05	3.025556e-09	-9.999117e-19	6.565842e-08	-6.913274e-13	7.321481e-08	
1.400000e-01	6.915696e-02	7.677965e-16	6.214070e-02	7.181628e-07	2.502264e-05	3.928785e-19	2.791397e-05	3.224774e-09	-1.072362e-18	7.044384e-08	-6.717713e-13	7.849051e-08	
