qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
3.000000e-01	1.631281e-05	1.811086e-19	1.540529e-05	1.513030e-10	1.606582e-02	2.522482e-16	1.332515e-02	7.574576e-04	-6.890113e-16	4.522856e-05	4.228301e-03	5.896243e-04	
3.100000e-01	1.528523e-05	1.697001e-19	1.445548e-05	1.394460e-10	1.650853e-02	2.591992e-16	1.365323e-02	8.090323e-04	-7.079587e-16	4.647489e-05	4.355423e-03	6.379276e-04	
3.200000e-01	1.429187e-05	1.586716e-19	1.353632e-05	1.280880e-10	1.694257e-02	2.660139e-16	1.397270e-02	8.580860e-04	-7.267475e-16	4.769679e-05	4.478622e-03	6.839768e-04	
3.300000e-01	1.333461e-05	1.480439e-19	1.264959e-05	1.172537e-10	1.736771e-02	2.726892e-16	1.427852e-02	9.040323e-04	-7.444807e-16	4.889367e-05	4.597703e-03	7.275068e-04	
3.400000e-01	1.241497e-05	1.378338e-19	1.179671e-05	1.069615e-10	1.778377e-02	2.792217e-16	1.458639e-02	9.475935e-04	-7.629676e-16	5.006496e-05	4.712469e-03	7.682487e-04	
3.500000e-01	1.153414e-05	1.280547e-19	1.097884e-05	9.722437e-11	1.819055e-02	2.856084e-16	1.487936e-02	9.874175e-04	-7.801804e-16	5.121011e-05	4.822718e-03	8.059276e-04	
3.600000e-01	1.069299e-05	1.187160e-19	1.019680e-05	8.803910e-11	1.858785e-02	2.918464e-16	1.516365e-02	1.023615e-03	-7.966977e-16	5.232859e-05	4.928261e-03	8.402667e-04	
3.700000e-01	9.892069e-06	1.098240e-19	9.451176e-06	7.940357e-11	1.897548e-02	2.979326e-16	1.543878e-02	1.055865e-03	-8.135416e-16	5.341987e-05	5.028886e-03	8.709799e-04	
3.800000e-01	9.131659e-06	1.013818e-19	8.742272e-06	7.132680e-11	1.935328e-02	3.038644e-16	1.570467e-02	1.083864e-03	-8.296566e-16	5.448345e-05	5.124394e-03	8.977773e-04	
3.900000e-01	8.411756e-06	9.338925e-20	8.070156e-06	6.378728e-11	1.972108e-02	3.096391e-16	1.596125e-02	1.107302e-03	-8.457043e-16	5.551886e-05	5.214575e-03	9.203609e-04	
4.000000e-01	7.732113e-06	8.584369e-20	7.434658e-06	5.678470e-11	2.007870e-02	3.152541e-16	1.620822e-02	1.125845e-03	-8.614410e-16	5.652564e-05	5.299220e-03	9.384267e-04	
4.100000e-01	7.092254e-06	7.873983e-20	6.835406e-06	5.030543e-11	2.042599e-02	3.207070e-16	1.644558e-02	1.139170e-03	-8.762805e-16	5.750335e-05	5.378117e-03	9.516623e-04	
4.200000e-01	6.491499e-06	7.207012e-20	6.271842e-06	4.432463e-11	2.076281e-02	3.259953e-16	1.667324e-02	1.146940e-03	-8.896205e-16	5.845156e-05	5.451044e-03	9.597464e-04	
4.300000e-01	5.928987e-06	6.582498e-20	5.743221e-06	3.883321e-11	2.108901e-02	3.311169e-16	1.689105e-02	1.148801e-03	-9.041428e-16	5.936988e-05	5.517796e-03	9.623516e-04	
4.400000e-01	5.403694e-06	5.999306e-20	5.248684e-06	3.381067e-11	2.140445e-02	3.360697e-16	1.709892e-02	1.144394e-03	-9.185714e-16	6.025791e-05	5.578127e-03	9.591355e-04	
4.500000e-01	4.914461e-06	5.456148e-20	4.787213e-06	2.923143e-11	2.170901e-02	3.408516e-16	1.729682e-02	1.133350e-03	-9.306921e-16	6.111531e-05	5.631821e-03	9.497503e-04	
4.600000e-01	4.460012e-06	4.951609e-20	4.357693e-06	2.507682e-11	2.200257e-02	3.454607e-16	1.748449e-02	1.115276e-03	-9.436103e-16	6.194174e-05	5.678639e-03	9.338354e-04	
4.700000e-01	4.038976e-06	4.484164e-20	3.958918e-06	2.132119e-11	2.228501e-02	3.498953e-16	1.766200e-02	1.089785e-03	-9.560706e-16	6.273686e-05	5.718341e-03	9.110191e-04	
4.800000e-01	3.649905e-06	4.052209e-20	3.589606e-06	1.794546e-11	2.255623e-02	3.541536e-16	1.782912e-02	1.056457e-03	-9.668375e-16	6.350039e-05	5.750683e-03	8.809179e-04	
4.900000e-01	3.291298e-06	3.654075e-20	3.248426e-06	1.492297e-11	2.281612e-02	3.582341e-16	1.798588e-02	1.014877e-03	-9.782330e-16	6.423204e-05	5.775407e-03	8.431359e-04	
5.000000e-01	2.961611e-06	3.288049e-20	2.934004e-06	1.222973e-11	2.306460e-02	3.621355e-16	1.813213e-02	9.646015e-04	-9.894432e-16	6.493155e-05	5.792254e-03	7.972654e-04	
5.100000e-01	2.659282e-06	2.952396e-20	2.644941e-06	9.842887e-12	2.330157e-02	3.658563e-16	1.826780e-02	9.051792e-04	-9.987032e-16	6.559870e-05	5.800957e-03	7.428866e-04	
5.200000e-01	2.382738e-06	2.645370e-20	2.379826e-06	7.739486e-12	2.352698e-02	3.693953e-16	1.839282e-02	8.361450e-04	-1.007971e-15	6.623325e-05	5.801243e-03	6.795696e-04	
5.300000e-01	2.130412e-06	2.365233e-20	2.137251e-06	5.896225e-12	2.374073e-02	3.727515e-16	1.850705e-02	7.570138e-04	-1.017182e-15	6.683502e-05	5.792827e-03	6.068753e-04	
5.400000e-01	1.900758e-06	2.110266e-20	1.915822e-06	4.292039e-12	2.394278e-02	3.759239e-16	1.861042e-02	6.672927e-04	-1.026529e-15	6.740384e-05	5.775421e-03	5.243622e-04	
5.500000e-01	1.692255e-06	1.878781e-20	1.714163e-06	2.905988e-12	2.413307e-02	3.789115e-16	1.870282e-02	5.664741e-04	-1.034812e-15	6.793953e-05	5.748729e-03	4.315998e-04	
5.600000e-01	1.503422e-06	1.669134e-20	1.530933e-06	1.720309e-12	2.431155e-02	3.817138e-16	1.878418e-02	4.540396e-04	-1.043285e-15	6.844198e-05	5.712448e-03	3.282129e-04	
5.700000e-01	1.332822e-06	1.479729e-20	1.364824e-06	7.279144e-13	2.447818e-02	3.843300e-16	1.885436e-02	3.294614e-04	-1.049342e-15	6.891107e-05	5.666269e-03	2.140837e-04	
5.800000e-01	1.179069e-06	1.309030e-20	1.214576e-06	4.463163e-13	2.463292e-02	3.867596e-16	1.891327e-02	1.922061e-04	-1.056568e-15	6.934671e-05	5.609878e-03	9.133716e-05	
5.900000e-01	1.040837e-06	1.155562e-20	1.078978e-06	9.038371e-13	2.477576e-02	3.890023e-16	1.896076e-02	4.173698e-05	-1.062812e-15	6.974882e-05	5.542959e-03	6.570543e-05	
6.000000e-01	9.168597e-07	1.017919e-20	9.568698e-07	1.476167e-12	2.490666e-02	3.910577e-16	1.899672e-02	1.224817e-04	-1.067675e-15	7.011735e-05	5.465194e-03	2.103840e-04	
6.100000e-01	8.059340e-07	8.947665e-21	8.471486e-07	1.943183e-12	2.502563e-02	3.929256e-16	1.902100e-02	3.009758e-04	-1.072650e-15	7.045228e-05	5.376266e-03	3.744912e-04	
6.200000e-01	7.069241e-07	7.848434e-21	7.487694e-07	2.313344e-12	2.513266e-02	3.946060e-16	1.903342e-02	4.942588e-04	-1.077985e-15	7.075359e-05	5.275863e-03	5.531786e-04	
6.300000e-01	6.187611e-07	6.869628e-21	6.607466e-07	2.597794e-12	2.522775e-02	3.960990e-16	1.903381e-02	7.028201e-04	-1.081497e-15	7.102128e-05	5.163679e-03	7.463661e-04	
6.400000e-01	5.404433e-07	6.000126e-21	5.821544e-07	2.807461e-12	2.531091e-02	3.974047e-16	1.902195e-02	9.271163e-04	-1.084565e-15	7.125539e-05	5.039425e-03	9.543407e-04	
6.500000e-01	4.710364e-07	5.229555e-21	5.121265e-07	2.952506e-12	2.538216e-02	3.985233e-16	1.899772e-02	1.167564e-03	-1.088117e-15	7.145597e-05	4.902828e-03	1.177435e-03	
6.600000e-01	4.096719e-07	4.548272e-21	4.498558e-07	3.042231e-12	2.544152e-02	3.994553e-16	1.896076e-02	1.424511e-03	-1.090747e-15	7.162307e-05	-8.866832e-05	1.236062e-03	
6.700000e-01	3.555456e-07	3.947349e-21	3.945931e-07	3.084900e-12	2.548902e-02	4.002011e-16	1.891080e-02	1.698233e-03	-1.092656e-15	7.175679e-05	-9.262965e-05	1.235361e-03	
