qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	4.590797e-04	5.096808e-18	3.815931e-04	8.591339e-09	2.432807e-04	3.819732e-18	2.978041e-04	6.671644e-08	-1.043657e-17	6.848849e-07	-6.550854e-11	8.381851e-07	
2.000000e-02	4.458858e-04	4.950327e-18	3.708136e-04	8.324499e-09	4.845725e-04	7.608236e-18	5.931590e-04	1.327822e-07	-2.076755e-17	1.364171e-06	4.085098e-11	1.666864e-06	
3.000000e-02	4.247341e-04	4.715495e-18	3.539885e-04	7.854074e-09	7.219100e-04	1.133465e-17	8.805938e-04	1.934516e-07	-3.094631e-17	2.032324e-06	1.511414e-10	2.475216e-06	
4.000000e-02	3.967981e-04	4.405344e-18	3.317325e-04	7.234659e-09	9.533741e-04	1.496885e-17	1.160798e-03	2.524981e-07	-4.084050e-17	2.683943e-06	2.633257e-10	3.255188e-06	
5.000000e-02	3.635656e-04	4.036388e-18	3.052015e-04	6.503389e-09	1.177115e-03	1.848179e-17	1.419813e-03	2.927103e-07	-5.047934e-17	3.313818e-06	3.753805e-10	3.998297e-06	
6.000000e-02	3.267072e-04	3.627179e-18	2.756964e-04	5.701101e-09	1.391372e-03	2.184582e-17	1.679053e-03	3.470857e-07	-5.961023e-17	3.916995e-06	4.852770e-10	4.696345e-06	
7.000000e-02	2.879388e-04	3.196762e-18	2.445593e-04	4.866800e-09	1.594495e-03	2.503505e-17	1.911977e-03	3.806163e-07	-6.835923e-17	4.488829e-06	5.910086e-10	5.341433e-06	
8.000000e-02	2.488915e-04	2.763251e-18	2.130713e-04	4.039016e-09	1.784964e-03	2.802558e-17	2.123900e-03	4.032266e-07	-7.647604e-17	5.025037e-06	6.906213e-10	5.926013e-06	
9.000000e-02	2.110048e-04	2.342624e-18	1.823718e-04	3.250801e-09	1.961401e-03	3.079581e-17	2.310942e-03	4.118292e-07	-8.403643e-17	5.521745e-06	7.822333e-10	6.442860e-06	
1.000000e-01	1.754490e-04	1.947875e-18	1.533968e-04	2.527322e-09	2.122591e-03	3.332664e-17	2.471080e-03	4.055835e-07	-9.099280e-17	5.975527e-06	8.640571e-10	6.885068e-06	
1.100000e-01	1.430838e-04	1.588550e-18	1.268447e-04	1.886631e-09	2.267487e-03	3.560165e-17	2.604509e-03	3.870628e-07	-9.719674e-17	6.383441e-06	9.344195e-10	7.246032e-06	
1.200000e-01	1.144502e-04	1.270652e-18	1.031686e-04	1.338315e-09	2.395227e-03	3.760728e-17	2.705974e-03	3.509777e-07	-1.026644e-16	6.743054e-06	9.917778e-10	7.519396e-06	
1.300000e-01	8.979136e-05	9.968844e-19	8.258990e-05	8.850090e-10	2.505135e-03	3.933293e-17	2.773575e-03	2.971588e-07	-1.074462e-16	7.052467e-06	1.034741e-09	7.699033e-06	
1.400000e-01	6.909572e-05	7.671166e-19	6.512990e-05	5.234416e-10	2.596728e-03	4.077102e-17	2.805405e-03	2.254434e-07	-1.113012e-16	7.310319e-06	1.062093e-09	7.779019e-06	
1.500000e-01	5.215228e-05	5.790067e-19	5.065067e-05	2.459078e-10	2.669718e-03	4.191704e-17	2.799330e-03	1.359080e-07	-1.144703e-16	7.515802e-06	1.072838e-09	7.753747e-06	
1.600000e-01	3.861079e-05	4.286659e-19	3.890076e-05	4.188174e-11	2.724013e-03	4.276952e-17	2.753340e-03	2.970345e-08	-1.167160e-16	7.668654e-06	1.066259e-09	7.618129e-06	
1.700000e-01	2.803919e-05	3.112975e-19	2.955915e-05	1.005292e-10	2.759710e-03	4.332999e-17	2.665852e-03	9.068387e-08	-1.183209e-16	7.769147e-06	1.042018e-09	7.368108e-06	
1.800000e-01	1.997343e-05	2.217496e-19	2.227377e-05	1.933757e-10	2.777091e-03	4.360290e-17	2.535963e-03	2.201865e-07	-1.189945e-16	7.818079e-06	1.000297e-09	7.001627e-06	
1.900000e-01	1.395661e-05	1.549495e-19	1.669249e-05	2.479746e-10	2.776617e-03	4.359546e-17	2.361373e-03	3.531458e-07	-1.189829e-16	7.816745e-06	9.419826e-10	6.520119e-06	
2.000000e-01	9.566602e-06	1.062106e-19	1.248546e-05	2.743278e-10	2.758915e-03	4.331752e-17	2.152460e-03	4.731440e-07	-1.182998e-16	7.766910e-06	8.688544e-10	5.930662e-06	
2.100000e-01	6.432754e-06	7.141792e-20	9.359045e-06	2.808218e-10	2.724767e-03	4.278136e-17	1.905567e-03	5.728662e-07	-1.168385e-16	7.670776e-06	7.837149e-10	5.248528e-06	
2.200000e-01	4.243358e-06	4.711074e-20	7.063109e-06	2.741869e-10	2.675096e-03	4.200148e-17	1.632870e-03	6.361516e-07	-1.146244e-16	7.530943e-06	6.902930e-10	4.499115e-06	
2.300000e-01	2.746050e-06	3.048728e-20	5.391167e-06	2.594675e-10	2.610953e-03	4.099437e-17	1.349301e-03	6.519256e-07	-1.119512e-16	7.350366e-06	5.929577e-10	3.719031e-06	
2.400000e-01	1.743439e-06	1.935606e-20	4.183982e-06	2.408542e-10	2.533495e-03	3.977822e-17	1.070218e-03	6.180420e-07	-1.084513e-16	7.132308e-06	4.952745e-10	2.948992e-06	
2.500000e-01	1.085973e-06	1.205672e-20	3.303236e-06	2.197305e-10	2.443976e-03	3.837268e-17	8.146596e-04	5.430642e-07	-1.047476e-16	6.880291e-06	4.015556e-10	2.242045e-06	
2.600000e-01	6.636821e-07	7.368352e-21	2.665053e-06	1.989175e-10	2.343719e-03	3.679856e-17	5.928849e-04	4.429023e-07	-1.005702e-16	6.598049e-06	3.115067e-10	1.626895e-06	
2.700000e-01	3.979663e-07	4.418313e-21	2.196086e-06	1.790805e-10	2.234108e-03	3.507756e-17	4.124817e-04	3.362903e-07	-9.581957e-17	6.289470e-06	2.246885e-10	1.127282e-06	
2.800000e-01	2.341501e-07	2.599588e-21	1.847735e-06	1.609224e-10	2.116559e-03	3.323194e-17	2.738357e-04	2.383895e-07	-9.077493e-17	5.958547e-06	1.390236e-10	7.460162e-07	
2.900000e-01	1.351830e-07	1.500833e-21	1.580260e-06	1.442576e-10	1.992512e-03	3.128428e-17	1.743453e-04	1.590682e-07	-8.544203e-17	5.609328e-06	5.301146e-11	4.735759e-07	
3.000000e-01	7.658575e-08	8.502727e-22	1.372248e-06	1.294249e-10	1.863403e-03	2.925715e-17	1.067477e-04	1.006238e-07	-7.992304e-17	5.245861e-06	-3.431859e-11	2.886351e-07	
3.100000e-01	4.257864e-08	4.727178e-22	1.206452e-06	1.163060e-10	1.730656e-03	2.717289e-17	6.348894e-05	6.115230e-08	-7.416041e-17	4.872149e-06	-1.218641e-10	1.693372e-07	
3.200000e-01	2.323131e-08	2.579193e-22	1.070540e-06	1.046851e-10	1.595657e-03	2.505330e-17	3.545459e-05	3.466679e-08	-6.842222e-17	4.492102e-06	-2.070167e-10	9.589757e-08	
3.300000e-01	1.243985e-08	1.381101e-22	9.569593e-07	9.442874e-11	1.459749e-03	2.291940e-17	1.941946e-05	1.917600e-08	-6.262720e-17	4.109491e-06	-2.860119e-10	5.250002e-08	
3.400000e-01	6.537895e-09	7.258521e-23	8.605284e-07	8.538535e-11	1.324207e-03	2.079128e-17	1.032411e-05	1.029152e-08	-5.678041e-17	3.727914e-06	-3.546213e-10	2.781526e-08	
3.500000e-01	3.372602e-09	3.744341e-23	7.771823e-07	7.737087e-11	1.190235e-03	1.868778e-17	5.296013e-06	5.391097e-09	-5.105539e-17	3.350754e-06	-4.091627e-10	1.429115e-08	
3.600000e-01	1.707734e-09	1.895966e-23	7.040960e-07	7.023440e-11	1.058946e-03	1.662643e-17	5.234096e-06	5.739216e-09	-4.534489e-17	2.981149e-06	-4.469905e-10	7.161470e-09	
3.700000e-01	8.488434e-10	9.424055e-24	2.908762e-07	2.899963e-11	9.313598e-04	1.462321e-17	5.529160e-06	7.749067e-09	-3.989899e-17	2.621968e-06	-1.025983e-09	7.873018e-09	
3.800000e-01	4.142018e-10	4.598564e-24	1.326132e-07	1.321778e-11	8.083903e-04	1.269247e-17	2.592733e-06	6.053720e-09	-3.464284e-17	2.275784e-06	-2.055269e-09	8.490429e-09	
3.900000e-01	1.984261e-10	2.202972e-24	1.202593e-07	1.200332e-11	6.908410e-04	1.084684e-17	1.165509e-06	5.387522e-09	-2.959979e-17	1.944859e-06	-2.000418e-09	5.690736e-09	
4.000000e-01	9.332844e-11	1.036154e-24	1.099000e-07	1.098048e-11	5.794006e-04	9.097125e-18	5.080875e-07	4.955025e-09	-2.483922e-17	1.631131e-06	-1.871678e-09	4.645804e-09	
4.100000e-01	4.310063e-11	4.785132e-25	8.682645e-09	8.638211e-13	4.746403e-04	7.452292e-18	1.561917e-05	3.293310e-07	-2.036164e-17	1.336210e-06	-1.965697e-08	4.712941e-08	
4.200000e-01	1.954493e-11	2.169923e-25	2.982323e-09	2.961998e-13	3.770133e-04	5.919458e-18	2.672828e-06	1.241166e-07	-1.616434e-17	1.061370e-06	-4.613828e-08	1.097861e-07	
4.300000e-01	8.703457e-12	9.662779e-26	2.115868e-09	2.106556e-13	2.868557e-04	4.503900e-18	1.287253e-06	1.343480e-07	-1.230366e-17	8.075576e-07	-5.099308e-08	1.211510e-07	
4.400000e-01	3.806125e-12	4.225648e-26	1.606952e-09	1.602499e-13	2.043894e-04	3.209102e-18	6.059065e-07	1.451738e-07	-8.763645e-18	5.753979e-07	-5.124529e-08	1.217145e-07	
4.500000e-01	1.634685e-12	1.814864e-26	1.123969e-09	1.122302e-13	1.297261e-04	2.036820e-18	2.734595e-07	1.518136e-07	-5.559363e-18	3.652055e-07	-5.446295e-08	1.293504e-07	
4.600000e-01	6.895570e-13	7.655621e-27	8.088063e-10	8.080976e-14	6.287366e-05	9.871746e-19	1.316623e-07	1.622174e-07	-2.694554e-18	1.770022e-07	-5.482380e-08	1.302066e-07	
