qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	8.617427e-05	9.567266e-19	8.096594e-05	8.559595e-10	4.275964e-04	2.044023e-06	4.451910e-04	8.153230e-04	7.260655e-04	1.203771e-06	8.261748e-04	8.209367e-04	
2.000000e-02	8.602730e-05	9.550949e-19	8.082976e-05	8.534581e-10	8.550695e-04	4.087959e-06	9.260581e-04	7.997358e-04	1.452100e-03	2.407195e-06	1.616430e-03	8.109313e-04	
3.000000e-02	8.578290e-05	9.523815e-19	8.060337e-05	8.516466e-10	1.282296e-03	6.131722e-06	1.406687e-03	7.838419e-04	2.178073e-03	3.609926e-06	2.406403e-03	8.005887e-04	
4.000000e-02	8.544191e-05	9.485958e-19	8.028748e-05	8.469910e-10	1.709153e-03	8.175228e-06	1.886946e-03	7.676768e-04	2.903955e-03	4.811616e-06	3.196021e-03	7.899112e-04	
5.000000e-02	8.500549e-05	9.437505e-19	7.988316e-05	8.422323e-10	2.135518e-03	1.021840e-05	2.366633e-03	7.512256e-04	3.629717e-03	6.011920e-06	3.985215e-03	7.788980e-04	
6.000000e-02	8.447511e-05	9.378621e-19	7.939182e-05	8.356493e-10	2.561267e-03	1.226115e-05	2.845587e-03	7.344934e-04	4.355331e-03	7.210491e-06	4.773910e-03	7.675447e-04	
7.000000e-02	8.385256e-05	9.309504e-19	7.881507e-05	8.287581e-10	2.986279e-03	1.430341e-05	3.323599e-03	7.174694e-04	5.080770e-03	8.406986e-06	5.562040e-03	7.558453e-04	
8.000000e-02	8.313994e-05	9.230387e-19	7.815477e-05	8.204605e-10	3.410431e-03	1.634511e-05	3.800492e-03	7.001509e-04	5.806011e-03	9.601060e-06	6.349543e-03	7.437915e-04	
9.000000e-02	8.233962e-05	9.141534e-19	7.741315e-05	8.111098e-10	3.833600e-03	1.838619e-05	4.276105e-03	6.825342e-04	6.531031e-03	1.079237e-05	7.136353e-03	7.313710e-04	
1.000000e-01	8.145426e-05	9.043239e-19	7.659284e-05	7.998824e-10	4.255667e-03	2.042659e-05	4.750241e-03	6.646060e-04	7.255811e-03	1.198057e-05	7.922386e-03	7.185677e-04	
1.100000e-01	8.048678e-05	8.935827e-19	7.569617e-05	7.887127e-10	4.676509e-03	2.246627e-05	5.222679e-03	6.463495e-04	7.980335e-03	1.316533e-05	8.707620e-03	7.053678e-04	
1.200000e-01	7.944034e-05	8.819649e-19	7.472607e-05	7.771325e-10	5.096006e-03	2.450519e-05	5.693316e-03	6.277598e-04	8.704587e-03	1.434630e-05	9.492001e-03	6.917514e-04	
1.300000e-01	7.831834e-05	8.695082e-19	7.368591e-05	7.640875e-10	5.514038e-03	2.654332e-05	6.161959e-03	6.088170e-04	9.428559e-03	1.552314e-05	1.027545e-02	6.776935e-04	
1.400000e-01	7.712437e-05	8.562525e-19	7.257857e-05	7.496602e-10	5.930485e-03	2.858064e-05	6.628425e-03	5.894999e-04	1.015224e-02	1.669553e-05	1.105797e-02	6.631728e-04	
1.500000e-01	7.586223e-05	8.422400e-19	7.140794e-05	7.351496e-10	6.345229e-03	3.061715e-05	7.092579e-03	5.697893e-04	1.087564e-02	1.786312e-05	1.183947e-02	6.481574e-04	
1.600000e-01	7.453589e-05	8.275146e-19	7.017749e-05	7.200425e-10	6.758152e-03	3.265284e-05	7.554049e-03	5.496446e-04	1.159875e-02	1.902558e-05	1.261993e-02	6.326179e-04	
