qt_Q	Born          	RC      	err
0.01	1.16286e-05	9.51958e-06	8.90514e-12
0.02	1.12944e-05	9.1274e-06	8.05135e-12
0.03	1.07586e-05	8.59149e-06	7.44333e-12
0.04	1.0051e-05	7.93838e-06	6.58614e-12
0.05	9.20922e-06	7.19939e-06	5.67577e-12
0.06	8.27559e-06	6.40802e-06	5.07229e-12
0.07	7.29357e-06	5.59741e-06	4.42513e-12
0.08	6.3045e-06	4.79802e-06	3.86818e-12
0.09	5.34481e-06	4.0358e-06	3.59072e-12
0.1	4.44418e-06	3.33097e-06	2.83776e-12
0.11	3.62436e-06	2.69759e-06	2.48032e-12
0.12	2.89906e-06	2.14355e-06	2.09375e-12
0.13	2.27444e-06	1.67123e-06	1.74831e-12
0.14	1.75022e-06	1.27843e-06	1.42537e-12
0.15	1.32103e-06	9.59529e-07	1.11381e-12
0.16	9.78023e-07	7.06603e-07	8.78069e-13
0.17	7.10241e-07	5.10542e-07	7.03056e-13
0.18	5.05933e-07	3.61936e-07	5.1072e-13
0.19	3.53525e-07	2.51757e-07	3.83572e-13
0.2	2.42325e-07	1.71828e-07	2.82088e-13
0.21	1.62944e-07	1.15075e-07	2.03293e-13
0.22	1.07486e-07	7.56249e-08	1.43895e-13
0.23	6.95583e-08	4.87725e-08	9.89549e-14
0.24	4.41618e-08	3.08711e-08	6.74533e-14
0.25	2.7508e-08	1.91805e-08	4.49225e-14
0.26	1.68113e-08	1.17001e-08	2.91063e-14
0.27	1.00806e-08	7.00951e-09	1.86624e-14
0.28	5.93109e-09	4.12653e-09	1.17699e-14
0.29	3.42422e-09	2.38923e-09	7.58874e-15
0.3	1.93994e-09	1.36248e-09	4.73764e-15
0.31	1.07853e-09	7.67111e-10	2.94818e-15
0.32	5.88456e-10	4.2816e-10	1.8673e-15
0.33	3.15105e-10	2.38517e-10	1.1851e-15
0.34	1.65607e-10	1.34069e-10	7.4442e-16
0.35	8.5429e-11	7.72865e-11	4.56442e-16
0.36	4.32574e-11	4.66747e-11	3.01541e-16
0.37	2.15015e-11	3.01817e-11	1.98913e-16
0.38	1.04919e-11	2.11888e-11	1.33075e-16
0.39	5.02619e-12	1.61329e-11	8.81856e-17
0.4	2.36404e-12	1.26238e-11	5.29044e-17
0.41	1.09175e-12	1.11095e-11	4.27544e-17
0.42	4.95079e-13	9.85772e-12	3.39543e-17
0.43	2.20461e-13	8.79457e-12	2.49298e-17
0.44	9.64103e-14	7.25053e-12	1.29576e-17
0.45	4.1407e-14	6.24216e-12	1.21709e-17
0.46	1.74667e-14	5.7443e-12	1.01684e-17
0.47	7.23698e-15	3.55622e-12	6.41196e-18
0.48	2.94536e-15	3.15502e-12	3.15201e-18
0.49	1.17755e-15	2.86715e-12	2.86575e-18

