qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	1.017179e-02	1.129296e-16	7.822587e-03	1.346201e-07	-4.932740e-13	3.560539e-08	-1.217003e-12	4.168904e-08	1.264753e-05	3.294823e-15	1.482455e-05	2.551304e-10	
2.000000e-02	1.009794e-02	1.121096e-16	7.768048e-03	1.334117e-07	-1.460928e-13	7.131816e-08	5.361470e-13	8.340746e-08	2.533321e-05	1.431434e-14	2.968518e-05	5.098258e-10	
3.000000e-02	9.976040e-03	1.107563e-16	7.678009e-03	1.314333e-07	-1.023031e-13	1.072462e-07	1.932666e-12	1.252564e-07	3.809536e-05	2.773018e-15	4.461800e-05	7.637798e-10	
4.000000e-02	9.807851e-03	1.088890e-16	7.553737e-03	1.287073e-07	-8.988644e-14	1.434985e-07	3.284394e-12	1.673487e-07	5.097269e-05	2.665132e-15	5.965927e-05	1.016536e-09	
5.000000e-02	9.595773e-03	1.065345e-16	7.396954e-03	1.252860e-07	-8.941405e-14	1.801857e-07	4.606568e-12	2.097734e-07	6.400448e-05	4.237925e-14	7.484548e-05	1.267713e-09	
6.000000e-02	9.342789e-03	1.037258e-16	7.210096e-03	1.211622e-07	-6.448278e-14	2.174204e-07	5.933964e-12	2.526259e-07	7.723076e-05	1.478129e-14	9.020980e-05	1.515957e-09	
7.000000e-02	9.052402e-03	1.005018e-16	6.995104e-03	1.164648e-07	-5.009594e-14	2.553180e-07	7.217811e-12	2.960139e-07	9.069254e-05	2.833058e-14	1.057959e-04	1.761481e-09	
8.000000e-02	8.728547e-03	9.690634e-17	6.755132e-03	1.112868e-07	-4.151656e-14	2.939974e-07	8.455539e-12	3.400482e-07	1.044320e-04	2.804007e-14	1.216379e-04	2.003961e-09	
9.000000e-02	8.375508e-03	9.298682e-17	6.493037e-03	1.056635e-07	-5.630970e-14	3.335810e-07	9.617639e-12	3.848202e-07	1.184926e-04	7.217036e-15	1.377786e-04	2.242179e-09	
1.000000e-01	7.997823e-03	8.879367e-17	6.212631e-03	9.967055e-08	-3.171692e-14	3.741960e-07	1.076799e-11	4.304457e-07	1.329197e-04	2.931249e-14	1.542453e-04	2.474663e-09	
1.100000e-01	7.600182e-03	8.437897e-17	5.916857e-03	9.340801e-08	-4.441713e-14	4.159748e-07	1.180722e-11	4.770206e-07	1.477601e-04	5.220240e-15	1.710867e-04	2.700992e-09	
1.200000e-01	7.187339e-03	7.979550e-17	5.609428e-03	8.693464e-08	-3.796264e-14	4.590555e-07	1.279034e-11	5.246636e-07	1.630629e-04	2.429040e-15	1.883348e-04	2.918907e-09	
1.300000e-01	6.764016e-03	7.509566e-17	5.293673e-03	8.035041e-08	-2.995206e-14	5.035830e-07	1.368544e-11	5.734897e-07	1.788797e-04	1.649014e-14	2.060316e-04	3.127387e-09	
1.400000e-01	6.334813e-03	7.033055e-17	4.972960e-03	7.372439e-08	-1.963455e-14	5.497094e-07	1.447937e-11	6.235487e-07	1.952645e-04	3.246093e-14	2.242161e-04	3.324156e-09	
1.500000e-01	5.904132e-03	6.554903e-17	4.650512e-03	6.715395e-08	-3.253478e-14	5.975954e-07	1.513105e-11	6.750247e-07	2.122742e-04	6.574017e-15	2.429276e-04	3.508065e-09	
