qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	8.617427e-05	9.567266e-19	8.096594e-05	8.559595e-10	4.275964e-04	6.713658e-18	5.350232e-04	7.399148e-06	-1.834949e-17	1.203771e-06	-6.407946e-05	5.187189e-06	
2.000000e-02	8.602730e-05	9.550949e-19	8.082976e-05	8.534581e-10	8.550695e-04	1.342538e-17	9.717256e-04	5.509624e-06	-3.664899e-17	2.407195e-06	-3.000707e-05	2.656809e-06	
3.000000e-02	8.578290e-05	9.523815e-19	8.060337e-05	8.516466e-10	1.282296e-03	2.013323e-17	1.407901e-03	3.997829e-06	-5.494869e-17	3.609926e-06	4.234267e-06	4.867865e-06	
4.000000e-02	8.544191e-05	9.485958e-19	8.028748e-05	8.469910e-10	1.709153e-03	2.683529e-17	1.843454e-03	2.850826e-06	-7.322687e-17	4.811616e-06	3.862084e-05	8.228245e-06	
5.000000e-02	8.500549e-05	9.437505e-19	7.988316e-05	8.422323e-10	2.135518e-03	3.352961e-17	2.278220e-03	2.055354e-06	-9.155034e-17	6.011920e-06	7.312881e-05	1.145528e-05	
6.000000e-02	8.447511e-05	9.378621e-19	7.939182e-05	8.356493e-10	2.561267e-03	4.021427e-17	2.712074e-03	1.596573e-06	-1.098108e-16	7.210491e-06	1.077341e-04	1.440743e-05	
7.000000e-02	8.385256e-05	9.309504e-19	7.881507e-05	8.287581e-10	2.986279e-03	4.688734e-17	3.144846e-03	1.454394e-06	-1.280050e-16	8.406986e-06	1.424126e-04	1.706378e-05	
8.000000e-02	8.313994e-05	9.230387e-19	7.815477e-05	8.204605e-10	3.410431e-03	5.354691e-17	3.576397e-03	1.606130e-06	-1.462127e-16	9.601060e-06	1.771401e-04	1.942803e-05	
9.000000e-02	8.233962e-05	9.141534e-19	7.741315e-05	8.111098e-10	3.833600e-03	6.019107e-17	4.006605e-03	2.032708e-06	-1.643158e-16	1.079237e-05	2.118920e-04	2.151170e-05	
1.000000e-01	8.145426e-05	9.043239e-19	7.659284e-05	7.998824e-10	4.255667e-03	6.681791e-17	4.435311e-03	2.719830e-06	-1.822635e-16	1.198057e-05	2.466432e-04	2.332966e-05	
