qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
3.000000e-01	3.744573e-02	4.157311e-16	3.431500e-02	3.220003e-07	-6.260486e-16	2.116681e-08	4.424686e-13	2.309053e-08	7.518746e-06	1.613786e-14	8.224323e-06	7.717849e-11	
3.100000e-01	3.550788e-02	3.942167e-16	3.260074e-02	2.991724e-07	2.635892e-15	2.211044e-08	4.648434e-13	2.407259e-08	7.853938e-06	4.361948e-15	8.574743e-06	7.869376e-11	
3.200000e-01	3.361181e-02	3.731661e-16	3.092131e-02	2.770549e-07	-3.150736e-15	2.308023e-08	4.777252e-13	2.507698e-08	8.198420e-06	7.743141e-15	8.933064e-06	8.004511e-11	
3.300000e-01	3.176172e-02	3.526259e-16	2.928040e-02	2.557116e-07	-8.780627e-15	2.407748e-08	4.911868e-13	2.610407e-08	8.552659e-06	1.006296e-15	9.299601e-06	8.122051e-11	
3.400000e-01	2.996133e-02	3.326376e-16	2.768133e-02	2.351486e-07	2.761316e-15	2.510357e-08	5.237089e-13	2.715519e-08	8.917141e-06	8.575504e-15	9.674660e-06	8.219032e-11	
3.500000e-01	2.821392e-02	3.132374e-16	2.612703e-02	2.154127e-07	-2.877409e-15	2.615993e-08	5.379736e-13	2.823004e-08	9.292371e-06	8.031594e-15	1.005856e-05	8.293700e-11	
3.600000e-01	2.652229e-02	2.944566e-16	2.462006e-02	1.965474e-07	-8.371234e-15	2.724802e-08	5.528803e-13	2.933208e-08	9.678878e-06	1.151591e-14	1.045160e-05	8.344391e-11	
3.700000e-01	2.488882e-02	2.763214e-16	2.316253e-02	1.785631e-07	1.064446e-14	2.836940e-08	5.946379e-13	3.045961e-08	1.007721e-05	1.386477e-14	1.085411e-05	8.368277e-11	
3.800000e-01	2.331541e-02	2.588530e-16	2.175627e-02	1.614723e-07	-2.930279e-15	2.952568e-08	6.017409e-13	3.161519e-08	1.048793e-05	1.152638e-14	1.126637e-05	8.362508e-11	
3.900000e-01	2.180357e-02	2.420683e-16	2.040267e-02	1.452887e-07	-8.242440e-15	3.071853e-08	6.181012e-13	3.279163e-08	1.091165e-05	4.268721e-17	1.168871e-05	8.324418e-11	
4.000000e-01	2.035440e-02	2.259792e-16	1.910280e-02	1.300166e-07	-5.595182e-15	3.194971e-08	6.439153e-13	3.402062e-08	1.134898e-05	3.544945e-15	1.212142e-05	8.250915e-11	
4.100000e-01	1.896859e-02	2.105937e-16	1.785738e-02	1.156466e-07	2.026051e-14	3.322104e-08	6.932960e-13	3.519626e-08	1.180058e-05	9.737340e-15	1.256480e-05	8.138090e-11	
4.200000e-01	1.764648e-02	1.959153e-16	1.666685e-02	1.021706e-07	7.282574e-15	3.453442e-08	7.039261e-13	3.651189e-08	1.226711e-05	3.990971e-15	1.301913e-05	7.982012e-11	
4.300000e-01	1.638807e-02	1.819442e-16	1.553130e-02	8.958443e-08	2.199267e-15	3.589185e-08	7.226397e-13	3.781522e-08	1.274929e-05	3.067274e-15	1.348468e-05	7.779137e-11	
4.400000e-01	1.519303e-02	1.686765e-16	1.445057e-02	7.786819e-08	4.810905e-15	3.729541e-08	7.500063e-13	3.915030e-08	1.324785e-05	1.356436e-14	1.396173e-05	7.524716e-11	
4.500000e-01	1.406072e-02	1.561054e-16	1.342424e-02	6.700107e-08	7.459695e-15	3.874727e-08	7.779691e-13	4.052119e-08	1.376357e-05	3.022949e-15	1.445052e-05	7.213799e-11	
4.600000e-01	1.299027e-02	1.442210e-16	1.245165e-02	5.695863e-08	-1.221048e-14	4.024971e-08	7.830796e-13	4.192457e-08	1.429726e-05	1.837166e-14	1.495127e-05	6.840946e-11	
4.700000e-01	1.198053e-02	1.330106e-16	1.153194e-02	4.771486e-08	-1.899652e-15	4.180510e-08	8.200639e-13	4.335912e-08	1.484975e-05	1.000118e-14	1.546418e-05	6.400407e-11	
4.800000e-01	1.103015e-02	1.224592e-16	1.066402e-02	3.923979e-08	1.032151e-15	4.341592e-08	8.498383e-13	4.482789e-08	1.542194e-05	1.517085e-14	1.598943e-05	5.885759e-11	
4.900000e-01	1.013758e-02	1.125498e-16	9.846683e-03	3.150541e-08	-3.300568e-15	4.508478e-08	8.726277e-13	4.633153e-08	1.601475e-05	3.454215e-16	1.652716e-05	5.290668e-11	
5.000000e-01	9.301127e-03	1.032633e-16	9.078525e-03	2.447577e-08	-1.337628e-16	4.681441e-08	9.037007e-13	4.787014e-08	1.662913e-05	8.149919e-16	1.707746e-05	4.607350e-11	
5.100000e-01	8.518928e-03	9.457910e-17	8.358038e-03	1.811799e-08	3.163942e-15	4.860766e-08	9.354104e-13	4.944388e-08	1.726612e-05	1.679820e-15	1.764041e-05	3.828157e-11	
5.200000e-01	7.789019e-03	8.647548e-17	7.683600e-03	1.239673e-08	-7.050199e-16	5.046751e-08	9.603342e-13	5.105282e-08	1.792676e-05	8.847981e-18	1.821600e-05	2.944795e-11	
5.300000e-01	7.109340e-03	7.892953e-17	7.053503e-03	7.276444e-09	1.754727e-14	5.239709e-08	1.008570e-12	5.271733e-08	1.861218e-05	4.835905e-15	1.880418e-05	1.949267e-11	
5.400000e-01	6.477758e-03	7.191756e-17	6.465970e-03	2.720922e-09	6.733549e-15	5.439969e-08	1.027123e-12	5.437542e-08	1.932353e-05	9.896852e-15	1.940484e-05	8.401663e-12	
5.500000e-01	5.892090e-03	6.541534e-17	5.919171e-03	1.613336e-09	-3.882688e-15	5.647875e-08	1.046898e-12	5.608816e-08	2.006204e-05	1.879506e-14	2.001779e-05	5.825846e-12	
5.600000e-01	5.350119e-03	5.939826e-17	5.411240e-03	4.838845e-09	3.547617e-16	5.863787e-08	1.082020e-12	5.783423e-08	2.082899e-05	7.105420e-15	2.064273e-05	1.857927e-11	
5.700000e-01	4.849615e-03	5.384155e-17	4.940293e-03	7.913892e-09	-9.852294e-15	6.088083e-08	1.103330e-12	5.961258e-08	2.162572e-05	1.479356e-14	2.127930e-05	3.415693e-11	
5.800000e-01	4.388348e-03	4.872045e-17	4.504437e-03	1.056496e-08	9.603755e-15	6.321160e-08	1.154196e-12	6.142189e-08	2.245364e-05	1.015698e-14	2.192700e-05	5.147788e-11	
5.900000e-01	3.964105e-03	4.401041e-17	4.101791e-03	1.282581e-08	-1.170882e-16	6.563434e-08	1.176890e-12	6.326013e-08	2.331423e-05	1.893123e-15	2.258522e-05	7.065929e-11	
6.000000e-01	3.574701e-03	3.968716e-17	3.730485e-03	1.472822e-08	5.218611e-15	6.815342e-08	1.214567e-12	6.512563e-08	2.420905e-05	1.525387e-16	2.325324e-05	9.183652e-11	
6.100000e-01	3.217993e-03	3.572690e-17	3.388687e-03	1.630414e-08	-4.008711e-15	7.077343e-08	1.238605e-12	6.701571e-08	2.513971e-05	1.692444e-14	2.393013e-05	1.151625e-10	
6.200000e-01	2.891889e-03	3.210642e-17	3.074595e-03	1.758318e-08	-5.513158e-15	7.349918e-08	1.270356e-12	6.892745e-08	2.610794e-05	1.980780e-14	2.461485e-05	1.407918e-10	
6.300000e-01	2.594356e-03	2.880314e-17	2.786458e-03	1.859356e-08	8.430488e-16	7.633573e-08	1.310519e-12	7.090306e-08	2.711552e-05	1.305150e-14	2.530613e-05	1.688837e-10	
6.400000e-01	2.323428e-03	2.579524e-17	2.522571e-03	1.936235e-08	-7.541293e-15	7.928839e-08	1.335372e-12	7.280042e-08	2.816434e-05	1.313271e-14	2.600254e-05	1.996043e-10	
6.500000e-01	2.077213e-03	2.306169e-17	2.281295e-03	1.991470e-08	7.266706e-15	8.236273e-08	1.382490e-12	7.475415e-08	2.925639e-05	1.782202e-15	2.670240e-05	2.331166e-10	
6.600000e-01	1.853894e-03	2.058236e-17	2.061047e-03	2.027473e-08	-4.062097e-16	8.556463e-08	1.408797e-12	7.670226e-08	3.039375e-05	4.965852e-15	2.740383e-05	2.695892e-10	
6.700000e-01	1.651740e-03	1.833799e-17	1.860314e-03	2.046473e-08	-7.777209e-15	8.890025e-08	1.435743e-12	7.866679e-08	3.157861e-05	7.171018e-15	2.810464e-05	3.091840e-10	
